Entered by,CASE STUDY,Organisation,INITIAL CONTACT,Focus Area,Category,Country,Contact Information,Website,Website Active?,Instagram,Instagram Active 2025/26?,Year Established,Trading Status,Ownership,Core model,Company Size data,Customers,Geographic scope,Categories,Partners,Partner Category,Data (Plastic saved),Data (Co2 Reduction),Key Facts,Anything else,Comments
Jishnu,,Beautiful Store,low priority,Reusable Products,Social Enterprise,South Korea,webmaster@beautifulstore.org,https://www.beautifulstore.org/,Yes,beautifulstore_official,Yes,2002,Active,Non-profit social enterprise,Charity resale shops refurbishing and reselling donated items,,,South Korea,,,,,,,,"Charity resale shops that refurbish and resell donated items, enabling reuse of household goods and apparel."
Prathmesh,,Beauty Kitchen,"27/06, Jishnu",Refillable Products,Household Cleaning Products,United Kingdom,PR@beautykitchen.co.uk,https://beautykitchen.co.uk/,Yes,beautykitchen,Yes,2014,Active,Private,B2C Retail + Return-for-Reward Refill System,Small UK team (exact employee number not publicly stated online),"Direct consumers,UK retail partners",UK + global online,"Skincare,Haircare,Refill personal care","Reuse Platform -Reposit (Return for Reward programme),Environmental-One Tree Planted (per order),Certifications-B Corp","Reuse logistics,Environmental offset,Certification body",Thousands of pieces prevented from landfill” (site claim),Not publicly available ,Sustainability commitments,N/A,Offers personal hygiene products with a focus on refill through their 'return for reward' scheme and helps in reducing single-use plastics​
Prathmesh,,Beauty Society,"01/07, Jishnu",Refillable Products,Consumer Goods,United States,support@BeautySociety.com,https://beautysociety.com/?u=rkm&r=C104207,Yes,,,,Active,Private,Sustainable beauty marketplace boosting refill-based circular economy,,,United States,,,,,,,,The Beauty society brings together various sustainable fashion products to boost a refill based circular economy
Jishnu,,BEG Distilaria Boutique,low priority,Refillable Products,Consumer Goods,Brazil ,contato@beggin.com.br,https://beggin.com.br/,Yes,,,,Active,Private,Award-winning Brazilian gin in reusable/refillable packaging,,,Brazil,,,,,,,,A boutique distillery producing award‑winning Brazilian gin in reusable packaging designed to be refilled or reused after consumption.
Jishnu,,Benamôr 1925,"02/07, Jishnu",Refillable Products,Consumer Goods,Portugal,contact@benamor1925.com,https://benamor1925.com/blogs/our-stories/first-refill-station-in-portugal-lx-factory,Yes,benamor1925,Yes,1925,Active,Private,B2C personal care + in-store refill station at LX Factory Lisbon,,,Portugal,,,,,,,,"Offers in-store refills (in LX Factory) of aluminum-bottle hand cream, liquid soap, and sanitizer with sustainable packaging practice."
Jishnu,,bettercup.,7/7 Krita,Reusable Products ,Shared-use Rental Services,Australia,hello@bettercup.co.nz,https://www.bettercup.com.au/,Yes,,,,Active,Private,B2B circular reusable cups for events and venues (full-service wash/logistics),,,Australia and New Zealand,,,,,,,,"A circular reuse system for events and venues offering reusable cups plus full service wash, storage, logistics and consulting support."
Jishnu,,Bio C’ Bon,low priority,Refill Stations,Consumer Goods,Japan,https://www.bio-c-bon.jp/inquiry/,https://www.bio-c-bon.jp/,,,,,,,,,,,,,,,,,,Organic supermarket chain with reusable bags and bulk dispensers for nuts grains and pantry staples to avoid single use packaging.
Prathmesh,,Bio Pac,"01/07, Jishnu",Refill and Reuse supply chain ,Consumer Services,United States,https://www.bio-pac.com/contact-us/,https://www.bio-pac.com/,Yes,,,,Active,Private family-owned,Bulk non-toxic zero waste cleaners for ~600 natural food stores,,,United States,,,,,,,,"A family owned business that produces bulk, non-toxic zero waste cleaners distributed to ~600 natural food stores nationwide"
Jishnu,,Bio‑Home,low priority,Eco-Friendly Household Products,Consumer Goods,Singapore,https://biohomecares.com/contact-bio-home/,https://biohomecares.com/,,,,,,,,,,,,,,,,,,"Provides biodegradable cleaning products ike detergent, floor cleaner and dishwashing liquid and refill outlets in grocery stores."
Giulia ,,BioBox,"04/07, Jishnu",Refillable Products,Consumer Goods ,Switzerland,info@biobox.ch ,https://biobox.ch/fr/,Yes,,,,Active,Private,Refillable container solutions for household products,,,Switzerland,,,,,,,,Offering refillable container solutions for household products.
Jishnu,,Biologique,"26/06, Jishnu",Refillable Products,Consumer Goods,South Africa,info@biologique.co.za,https://biologique.co.za/,Yes,,,,Active,Private,B2C toxin-free concentrate cleaners + reusable refill bottles,,,South Africa,,,,,,,,Offers toxin-free concentrate cleaners across categories with reusable bottles that customers refill multiple times at home to reduce plastic waste.
Jishnu,,BioPak,,Zero Waste,Consumer Goods,Australia,info@biopak.com.au,https://www.biopak.com,Yes,biopakpackaging,Yes,2006,Active,Private,Compostable food packaging + commercial composting collection service,,,"Australia, New Zealand, UK",,,,,,,,"Manufactures compostable food packaging including cups, cutlery and trays and provides collection services for commercial composting."
"Kaat, 29/06",,Biotherm,29/06,Refillable Products ,Consumer goods ,Spain,1 (844) 2457681,https://www.biotherm.es/es_ES/inicio,Yes,biotherm,Yes,1952,Active,Subsidiary (L'Oréal luxury division),B2C premium skincare + refillable product lines,,,Global,,,,,,,,A brand of L'oréal that started offering refillable products
Prathmesh,,Bite,"27/06, Jishnu",Refillable Products,Consumer Goods,United States,hello@bitetoothpastebits.com,https://bitetoothpastebits.com/,Yes,biteyourself,Yes,2018,Active,Private,B2C refillable oral care tablets + zero waste hygiene,,,United States and global,,,,,,,,Provides refillable containers and bite-size mouthwash bites promoting zero waste hygiene 
Prathmesh,,Blue Land,"02/07, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,help@blueland.com,https://www.blueland.com/en-gb/,Yes,,,,Active,Private,B2C eco cleaning tablets + reusable glass bottles,,,United States,,,,,,,,Provides eco-friendly consumer products in sustainable packaging​
"Giulia, 29/06",,Bluewater ,29/06,Refillable Packaging ,Packaging solution ,Sweden,david.noble@bluewatergroup.com ,https://www.bluewatergroup.com/en-gb/about,Yes,bluewatergroup,Yes,,Active,Private,B2B refillable water dispensers for public spaces and events,,,Sweden and global,,,,,,,,Refillable water dispensers in public spaces and events to reduce single-use plastic bottles 
Kaat,,Boobalou,"27/06, Jishnu",Reusable and refillable products,Consumer Goods ,United Kingdom,hello@boobalou.co.uk,https://www.boobalou.co.uk,Yes,boobalou,Yes,2014,Active,Private,"Zero-waste retail, B2C eco marketplace",Small UK independent retailer,"UK eco-conscious consumers, Online shoppers",UK,"Reusable menstrual products,Eco baby,Eco home,Plastic-free personal care","Independent eco brands,Pit Putty - pitputty.co.uk","Brand distribution, Manufacturing collaboration",Not publicly available ,Not publicly available ,N/A,N/A,"Sells reusable products for homes, personal hygiene, cleaning, and offers refills for them"
Kaat,,Boomi,low priority,,,,,,,,,,,,B2C eco marketplace,,,,,,Manufacturing collaboration,,,,,
Prathmesh,,Boox,"27/06, Jishnu",Reusable Packaging,Packaging Solutions,United States,press@boox.eco,https://boox.eco/,Yes,boox.eco,Yes,,Active,Private,B2B/B2C reusable shipping containers (zero waste e-commerce),,,United States,,,,,,,,Provides reusable shipping containers designed to ensure zero waste
Jishnu,,Botánica Granel,"26/06, Jishnu",Refillable Products,Consumer Goods,Mexico,contacto@botanicagranel.mx,https://botanicagranel.mx/,Yes,,,,Active,Private,"Zero-waste bulk store — food, personal care, cleaning (physical + online)",,,Mexico,,,,,,,,"Offers bulk food, personal care, and cleaning products in reusable containers at their Condesa store and online—supporting refill and zero-waste practices."
Jishnu,,Bottle Factory,low priority,Zero Waste,Consumer Goods,South Korea,https://www.instagram.com/bottle_factory/,https://www.bottlefactory.co.kr/,Yes,,,,Active,Private,Zero-waste café + eco detergent refill station + bottle club scheme,,,South Korea,,,,,,,,"Combines a zero-waste café and refill station offering eco-friendly detergents, loaned tumblers, and bottle club reuse scheme."
Prathmesh,,Bottle None,"01/07, Jishnu",Sustainable Products,Cosmetics,Canada,https://bottlenone.ca/pages/be-connected,https://bottlenone.ca/,Yes,,,,Active,Private,Zero-waste haircare with 3D-printed recycled material travel cases,,,Canada,,,,,,,,Zero-waste haircare system with 3D-printed recycled material travel cases
"Giulia, 29/06",,Bout'a'Bout',29/06,Refill and Reuse supply chain ,Packaging Solutions,France,contact@boutabout.org  ,https://www.boutabout.org/,Yes,,,,Active,Private,B2B glass bottle washing and reuse logistics support,,,France,,,,,,,,Offers logistical support to local partners  in the reuse of glass bottles 
Kaat,,BOXO,not suitable currently,Reusable Packaging,Packaging Solutions,Netherlands,contact@boxo.nu,https://boxo.nu,Yes,,,,Active,Private,Reusable shipping packaging,,,Netherlands,,,,,,,,Reusable shipping packaging
Kaat,,Brabantia,"27/06, Jishnu",Sustainable material,Durable Household,Netherlands,info.nederland@brabantia.com,https://shorturl.at/hme01,Yes,brabantia,Yes,1919,Active,Private family-owned,B2C durable long-life household goods,501-1000 employees,,Netherlands and global,,,,,,,,Offers durable household  products with a long life span
Prathmesh,,Branch Basics,"27/06, Jishnu",Sustainable Cleaning,Cleaning and Laundry Products,United States,info@branchbasics.com,https://branchbasics.com/,Yes,branchbasics,Yes,2015,Active,Private,B2C concentrate cleaning + refillable bottles,,,United States,,,,,,,,"Provides refillable cleaning and laundry products, concentrate, promoting zero waste​"
Jishnu,,BROS,low priority,Reusable Products,Consumer Goods,Malaysia,message@bros.com.my,https://bros.com.my/,Yes,,,,Active,Private,B2C reusable water/food containers with trade-in recycling program,,,Malaysia,,,,,,,,Reusable water bottle and food-container brand with local designs and a trade-in recycling program.
Prathmesh,,Brush Naked,"01/07, Jishnu",Eco-Friendly Household Products,Consumer Goods,Canada,info@brushnaked.com,https://brushnaked.com/,Yes,,,,Active,Private,B2C bamboo toothbrushes in biodegradable wrapping,,,Canada,,,,,,,,Bamboo toothbrushes in biodegradable wrapping—sustainable alternative to plastics
Kaat,,Bulk House,low priority,Zero Waste,Consumer Goods ,China,https://www.instagram.com/thebulkhouse/?hl=nl,website is in chinese,No,thebulkhouse,Yes,,Active,Private social enterprise,Refill and reusable items social enterprise,,,China,,,,,,,,Social entreprise that offers refills and reusable items like steel straws 
Kaat,,Bulle Verte,"27/06, Jishnu",Refillable Products,Consumer Goods,Belgium,https://www.bulle-verte.bio/contacts/,https://www.bulle-verte.bio,Yes,,,,Active,Private,Refillable household products store,,,Belgium,,,,,,,,Refillable household products
Prathmesh,,Bundle Packaging,"02/07, Jishnu",Reusable Packagaing,Packaging Solutions,United States,sales@bundlepackaging.com,https://bundlepackaging.com/,Yes,,,,Active,Private,B2B custom sustainable packaging solutions,,,United States,,,,,,,,Provides custom packaging for sustainable B2B packaging solutions
Prathmesh,,by Humankind,"27/06, Jishnu",Refillable Products,Consumer Goods,United States,we@byhumankind.com,https://byhumankind.com/,Yes,byhumankind,Yes,2018,Active,Private,B2C refillable personal care subscription,,,United States,,,,,,,,Offers refillable household products aimed at reducing plastic waste​
Jishnu,,Capsa Packaging,not suitable currently,Reusable Packaging ,Packaging Solutions,Spain,info@capsa2in1.com,https://capsa2in1.com/,Yes,,,,Active,Private,B2B reusable cardboard pallet boxes (80% footprint reduction),,,Spain,,,,,,,,Manufactures reusable cardboard pallet boxes that reduce supply chain packaging footprint by up to 80% over reuse cycles.
Jishnu,,Capsule Minimal,"25/06, Jishnu",Refillable Products,Consumer Goods,Israel,info@capsulminimal.com,https://www.capsuleminimal.com/,Yes,,,,Active,Private startup,B2C concentrated refill capsules mixed in reusable bottles at home,,,Israel,,,,,,,,Startup offering concentrated refill capsules for toiletry and cleaning products; customers use reusable bottles and mix capsules with tap water to create the product at home.
Kaat,,Carccu,"04/07, Jishnu",Reusable Packaging,Reusable Packaging,Finland,https://carccu.com/contact/,https://carccu.com,Yes,,,,Active,Private,Reusable take-away packaging and wrapping paper,,,Finland,,,,,,,,Sells Reusable Packaging and wrapping paper eg take-away containers
Kaat,,Care By Nature,"03/07, Jishnu",Zero Waste,Consumer Goods ,Denmark ,https://carebynature.dk/pages/contact,https://carebynature.dk/?srsltid=AfmBOoq5o_PsUaRXoTu84pUF7trbkKQVMQhR_OdjW2aJvKH810GzC0S2,Yes,,,,Active,Private,Zero-waste everyday items and kitchen supplies,,,Denmark,,,,,,,,Offers zero waste alternatives to everydayitems and kitchen supplies
Prathmesh ,,Castile Soap,low priority,Zero Waste,Consumer Goods,Singapore,admin@thecastilesoapshop.com,https://thecastilesoapshop.com/,Yes,,,,Active,Private,B2C biodegradable all-natural castile soaps,,,Singapore,,,,,,,,"Promotes the use of Castile Soaps that's readily biodegradable, sustainable, and all-natural."
Giulia ,,CauliBox ,45840,Reusable Packaging ,Reusable Packaging ,United Kingdom,contact@wearecauli.com,https://www.wearecauli.com/,Yes,wearecauli,Yes,2019,Active,Private limited company,Deposit-based reuse system (B2B Reuse System Administrator),"50+ catering sites, 10k+ active users","NHS Barts Trust,BT,Universities,Corporate offices",UK,"Reusable food containers,Reusable cups","Logistics-Washing partners,Dishwasher integration_x000D_
Corporate -BT,NHS Barts,Norton Rose Fulbright","Corporate clients,Catering operators,Institutional buyers",Not publicly available ,Not publicly available ,Environmental Impact claims,N/A,"Foodservice reuse platform providing reusable cups, bowls, and packaging with collection, washing logistics. Launched in offices, cafes, events."
